Cargills Optometrists,122 Sandgate Road Folkestone Kent ,CT20 2BW,01303 25447,www.cargillsopticians.co.uk,
Cargills Optometrists,59 St Peter’s Street Canterbury Kent ,CT1 2BE,01227 76667,www.cargillsopticians.co.uk,
Cargills Optometrists,7 North Street Ashford Kent ,TN24 8LF,01233 62059,www.cargillsopticians.co.uk,
Cargills Optometrists,139 High Street Hythe Kent ,CT21 5JL,01303 26645,www.cargillsopticians.co.uk,
Castle Opticians,275 High Road South Benfleet Essex ,SS7 5HA, 01268 79816,,
Christine Pirrie,"7/8 Maiden Lane, Stamford, Lincolnshire. ",PE9 2AZ,01780 75348,,
Clamp Optometrists,7 St Andrew`s Street Cambridge ,CB2 3AX,01223 35004,www.clampoptometrists.com,
Clare Darbyshire Opticians,2 Wilmore Street Much Wenlock Shropshire ,TF13 6HR,01952 72744,www.claredarbyshire.co.uk,
Clinton-Smith and Warren with Davis Optometrists,"12 St Mary’s Road, Market  Harborough Leicestershire ",LE16 7DU, 01858 46206,www.davisopticians.co.uk,
Cottam and Glaister,38 St Annes Road West Lytham St Annes Lancashire ,FY81RF,01253 72386,www.cottamandglaister.co.uk,
D H Thomas and Associates,"162 Hills Road, Cambridge ",CB2 8PB, 01223 24522,www.dhthomas.co.uk,
D P Opticians,45 Bridge Street Ballater Aberdeenshire ,AB35 5QJ,01339 75622,www.dpopticians.co.uk,
D W Roberts,"16 High Street, Stony Stratford, Milton Keynes, Bucks ",MK11 1AF, 01908 56235,www.dwroberts.co.uk,
D W Roberts,17 The Square Wolverton Milton Keynes Bucks ,MK12 5DQ, 01908 31333,www.dwroberts.co.uk,
D W Roberts,63 Queensway Bletchley Milton Keynes Bucks ,MK2 2DR,01908 37313,www.dwroberts.co.uk,
D W Roberts,6 Sponne House Towcester Northants ,NN12 6BY,01327 35024,www.dwroberts.co.uk,
D W Roberts,3 St.John Street Newport Pagnell Bucks ,MK16 8HE,01908 21812,www.dwroberts.co.uk,
D&H Hantman,"206 Preston Road, Wembley, Middlesex, ",HA9 8PA, 020 8904 921,,
Darlington Opticians,66 High Street Merthyr Tydfil ,CF47 8AE, 0168572378,www.darlingtonopticians.co.uk,
David Austen Optometry Ltd,45-46 Church Gate Loughborough Leicestershire ,LE11 1UE, 01509 26388,www.austenoptometrists.co.uk,
David Hillel,119 High Road London ,N2 8AG, 020 8444 223,www.davidhillel.co.uk,
David Snow Opticians,12 High St Hythe Kent ,CT21 5AT, 01303 26377,www.davidsnow.co.uk,
Davis Optometrists,Moyune House Crispin Place High St Kettering Northamptonshire ,NN16 8SP,01536 51279,www.davisopticians.co.uk,
Dawkins & Lodge Opticians,Unit 4 1-5 The Marsh Hythe Southampton ,SO45 6AJ, 023 8084 379,www.opticianshythe.co.uk,
DF Optometrists,148 Chanctonbury Way London ,N12 7AD,020 7754 037,,
Dixon Salt Opticians,9 Liverpool Terrace Worthing West Sussex ,BN11 1TA, 01903 23613,www.dixonsaltopticians.co.uk,
E & G Optical Services,8 Station Road Broxbourne Herts ,EN10 7QU, 01992 47630,www.eileengayopticians.co.uk/,
Edward Green Opticans,14 Chelmsford Road Chelmsford Essex ,CM15 8RQ, 0177 21297,,
Edward Watts Opticians,"14, Chelmsford Road Brentwood Essex ",CM15 8RQ, 01277 21297,www.edwardwatts-opticians.com,
Elaine M Yorwarth,"70 Commercial Road, Paddock Wood, Kent, ",TN12 6DP, 01892 83301,,
Ellis & Killpartrick,18 New Bond St Bath Somerset ,BA1 1BA,01225 46695,www.ellisandkillpartrick.com,
Ellis & Killpartrick,Regent Arcade Cheltenham Gloucestershire ,GL50 1JZ,01242 22868,www.ellisandkillpartrick.com,
Emslie Optometrists,62 High Street Dorking Surrey ,RH4 1AY, 01306 87520,www.emslieoptometrists.com,
Eye Academy,49 King Edward Court Windsor Berkshire ,SL4 1TG,01753 622222,www.eyeacademy.com,
Eye Practice Fulham,26 Fulham High St Near Putney Bridge Tube London ,SW6 3LQ, 0207 736 592,,eyepractice.fulham@btinternet.com
Eye Practice Seven Sisters,715 Seven Sisters Road London N15 5JT ,(Near Seven Sisters Tube and BR station), 0208 800 723,www.eyepracticegroup.co.uk,
Eyediology Opticians,79 Commercial Street Spitalfields ,London E1 6BD, 0207 377 202,www.eyediologyopticians.co.uk,
Eyesey Eyecare,"50 Bridge St, Pinner, Middlesex, ",HA5 3JF, 020 8429 010,www.eyesey.com,
Eyesmile Ltd,120 High Street Whitton Twickenham London ,TW2 7LL,02087 557 90,www.eyesmile.com,
Eyetech Opticians,2 The Island Midsomer Norton Bath Somerset ,BA3 2HQ, 01761 41413,www.eyetech-opticians.co.uk,
Eyetech Opticians,"100 High Street, Street Somerset ",BA16 0EW, 01458 44217,www.eyetech-opticians.co.uk,
Eyetech Opticians,25 Market Place Frome BA11 1AH ,Somerset,01373 46257,www.eyetech-opticians.co.uk,
Eyetech Opticians Ltd,2 The Island Midsomer Norton Radstock ,BA3 2HQ,01761 414136,www.eyetech-opticians.co.uk/,
Eyewise Opticians,374 Long Lane Hillingdon Middlesex ,UB10 9PG, 01895 234 56,www.eyewiseopticians.co.uk,
Eyeworks Optometrists,1 Church St Walton-on-Thames Surrey ,KT12 2QP, 01932 24426,www.eyeworks.co.uk,
Feltham Eyecare Centre,8 Wilton Parade High Street Feltham Middlesex ,TW13 4BU, 020 8867040,www.felthameyecarecentre.co.uk,
First Contact Opticians Ltd,126 Field End Road Eastcote Pinner Middlesex ,HA5 1RJ, 020 8866 491,www.firstcontactopticians.co.uk,
Fylde Visioncare Ltd Opticians,16 Rossall Road Cleveleys Lancashire ,FY5 1AP,01253 85303,www.grhardwick.co.uk,
Gardiners Opticians,5 Manor Buildings Osler Road Headington Oxford ,OX37RA,01865 76145,http://gardinersopticians.co.uk/,
Gilbert Opticians,"55 Bridge St, Worksop Nottinghamshire ",S80 1DG, 01909 47250,www.gilbertopticians.co.uk,
Gill Eyecare Ltd,145 High Street Hornchurch Essex ,RM11 3YD,01708 47562,www.opticianhornchurch.co.uk/,
Golding and Maud Optometrists,"2nd Floor, Barton House, Broadfield Barton, Crawley, West Sussex, ",RH11 9BA, 01293 54204,www.goldingandmaud.co.uk,
Goldsmith Webb Opticians,19 Market Road Chelmsford ,Essex, 01245 26055,www.goldsmithwebbopticians.co.uk,
Good Looking Optics,"5-6 St Onge Parade, Genotin Road Enfield, Middlesex ",EN1 1YU, 020 8364 4444,www.goodlookingoptics.co.uk,
Gordon Turner Optometrists,"71 Station Way, Cheam, Surrey ",SM3 8SG, 020 8642 056,www.gteye.net,
Grace Haine Eyecare Ltd,1 Skye House Ring Street Stalbridge Dorset ,DT10 2LZ,01963 36277,www.gracehaineeyecare.co.uk,
Graham Coe Opticians,"11 Burton Street, Melton Mowbray, Leicestershire, ",LE13 1AE, 01664 569 72,www.opticians-oakham-meltonmowbray.co.uk,
Gray and Bull Opticians,"5 Pelham St, Nottingham, ",NG1 2EH, 0115 941 812,www.grayandbull.co.uk,
Haig-Brown Optometry Ltd,"Fairoak, Portsmouth Road, Esher, Surrey ",KT10 9PJ, 01372 46676,www.haig-brown.co.uk,
Hammonds Eye Practice,"546 High Road, Bruce Grove, London ",N17 9SY, 020 8808 3327 or 0845 291 299,www.hammondseyepractice.co.uk,
Harries Opticians,313 London Road Hazel Grove Stockport Cheshire ,SK7 4PS,01614 83900,http://www.harriesopticians.com/,
Hassocks Eyecare Centre,"17 Keymer Road, Hassocks West Sussex, ",BN6 8AD, 01273 84394,www.hassockseyecare.co.uk,
Hawkes & Wainer,57 Leadenhall Market London ,EC3V 1LT,02076 23730,http://www.hawkesandwainer.co.uk/,
Headcorn Opticians,1 High Street Headcorn Kent ,TN27 9NH,01622 89004,http://www.headcornopticians.co.uk/,
Heather Bailey Optometrists Ltd,"1 Limpsfield Rd, South Croydon Surrey ",CR2 9LA,020 8657 352,www.heatherbailey.co.uk,
Heather D Jameson & Associates,"46 Station Way, Buckhurst Hill, Essex, ",IG9 6LN, 020 8504 483,,
Hodd Barnes & Dickins,"94 High Holborn, London, ",WC1V  6LF, 020 7242 349,www.hoddbarnesdickins.com,
Hope Valley Opticians Ltd,5B Hathersage Park Heather Lane Hathersage ,Derbyshire,01433 65956,www.hopevalleyopticians.co.uk,
Houghton White Optometrists,68 High St Ewell Surrey ,KT17 1RL, 020 8393 771,www.houghtonwhite.co.uk,
Hughes & McHugh,10b Anderson Street Airdrie Lanarkshire ,ML6 0AA, 01236 755 21,,
Insight Opticians,7 Packers Row Chesterfield Derbyshire ,S40 1RB, 01246 55111,,
Jane Smellie Opticians,3 Green End Whitchurch Shropshire ,SY13 1AD,01948 666767,www.janesmellieopticians.co.uk,
Jenson & Ledingham,23 Belmont Street Aberdeen ,AB10 1JS,01224643557,,
John Frewin Opticians,114 High St Sittingbourne Kent ,ME10 4PL, 01795 47255,,
John Rose Eye Care Centre,"1 Edon Street, Kingston-On-Thames, Surrey ",KT1 1BQ, 0208 546 929,www.johnroseeyecare.co.uk,
K Bardolia Optometrist,2c Francis St Leicester ,LE2 2BD, 0116 270794,,
K S Ferguson Optometrist,Unit 8 262 Sharoe Green Lane Fulwood Preston Lancashire ,PR2 9HD,01772 719 90,www.ksfergusonoptometrist.co.uk,
K.Davies Opticians,"12 Priory Road, Hornsey, London, ",N8 7RD, 0208 341 454,www.kerkdavies.co.uk,
Kathryn Anthony Opticians,16 Pierrepoint Street Bath ,BA1 1LA,,www.kathrynanthony.co.uk,
Keith Holland & Associates,27 St George’s Road Cheltenham ,GL50 3DT,01242 233500,www.keithholland.co.uk,
Keith Murphy Opticians,69 Warwick Road Kenilworth Warwickshire ,CV8 1HN,0192685336,www.keithmurphyopticians.co.uk/,
Kelcher Optometrists Ltd,88a Wardles Lane Great Wryley Walsall Staffordshire ,WS6 6DY,0192 2412 04,http://kelcheroptometrists.co.uk,
Kings Hill Opticians,2 Liberty Square Kings Hill West Malling Kent ,ME19 4AU, 01732 87554,www.kingshillopticians.co.uk,
L Jackson Opticians,"3 Southdown Road, Halfway, Sheerness Kent ",ME12 3BE, 01795 66725,,
Langrick & Coe Opticians,"16 High Street, Oakham Rutland, ",LE15 6AL, 01572 724 40,www.opticians-oakham-meltonmowbray.co.uk,
Lauder & Rees Ltd,119 Prard Street Paddington London ,W2 1RW,02072 62251,www.lauderandrees.co.uk/,
Liage Opticians,36 High Street Bridgnorth Shropshire ,WV16 4DB,01746 76854,www.bridgnorthopticians.co.uk,
Lloyd Roberts,"60A Church St, Weybridge, Surrey ",KT13 8DL, 01932 85988,www.lloydroberts.co.uk,
Marian Blake Opticians,263 Lodge Causeway Fishponds Bristol ,BS16 3RA,01179651861,www.marianblake.co.uk,Email: info@marianblake.co.uk
Mark Darling Eyecare Ltd,29 St. Leonards Road Northampton ,NN4 8DL, 01604 76585,www.markdarlingeyecare.co.uk,
McAusland Optometrists,3 Victoria Road Exmouth ,EX8 1DL,01395 276458,www.exmouth-eyecare.co.uk,
McElvanney Optometrists,138 Woodlands Road Glasgow ,G3 6LF,01413 53366,,
McVey Opticians,25 Roman Road Bearsden Glasgow ,G61 2SR, 0141 943122,,
Mearns Opticians,17 Broomburn Drive Newton Mearns Glasgow ,G77 5JQ,0141 639 2121,www.mearnsopticians.com,
Melina Joy Opticians Ltd,"59 High Street, Heathfield, East Sussex ",TN21 8HU, 01435 86818,www.melinajoy.co.uk,
Merton Beck Independent Opticians,39 Widnes Road Widnes Cheshire ,WA8 6AZ,0151 424 214,www.mertonbeck.co.uk,
Meryl James Opticians,"24 Forest Road, Loughton, Essex ",IG10 1DX, 0208508132,,
Michael Harris Opticians Ltd,25 Earlsdon Street Coventry ,CV5 6EP,02476 71162,,
Michael N. Charlton Optometrists,27 West Street Fishguard Pembrokeshire ,SA65 9AL,01348 87323,www.michaelcharlton.co.uk,
Mirage Opticians,155 Pitshanger Lane Ealing London ,W5 1RH, 020 8566875,www.mirageopticians.co.uk,
Myers La Roche TMR,1 Lloyd Square Altrincham ,WA14 2RL,01619 29838,www.myerslaroche.co.uk,
N F Burnett Hodd,"7 Devonshire Street, London, ",W1W 5DY, 020 7636 244,www.nfburnetthodd.com,
Newsom and Davies Opticians,"45 Henleaze Road, Bristol Avon ",BS9 4JU, 0117 962 261,www.newsom-davies.co.uk,
Nicklins Opticians,"216 High St, Guildford, Surrey, ",GU1 3JB,01483 56125,www.nicklinsopticians.co.uk,
Nixon And Shaw Optometrists,30 Monday Market Street Devizes Wiltshire ,SN10 1DN,,www.nixonshaw.co.uk,
Noakes Habermehl & Kerr, 2 Meavy Way Crownhill Plymouth Devon ,PL5 3BW, 01752 77211,www.nhkopticians.co.uk,
Noakes Habermehl & Kerr,8 Devonport Road Stoke Plymouth Devon ,PL3 4DH, 01752 55891,www.nhkopticians.co.uk,
Noakes Habermehl & Kerr,62 Ridgeway Plympton Plymouth Devon ,PL7 2AL, 01752 34526,www.nhkopticians.co.uk,
Noakes Habermehl & Kerr,,,101 Fore Street,www.nhkopticians.co.uk,
Noakes Habermehl & Kerr,49 Fore Street Callington Cornwall ,PL17 7AQ,01579 382345,www.nhkopticians.co.uk,
Noakes Habermehl & Kerr,6 Fore Street Ivybridge Devon ,PL21 9AB, 01752 89218,www.nhkopticians.co.uk,
Norwood & Perrin Opticians,8-10 Eldon Arcade Barnsley South Yorkshire ,S70 2JP, 01226 206 03,www.norwoodandperrin.co.uk/,
Nu-Sight Opticians,30 Cambridge Street Aylesbury Buckinghamshire ,HP20 1RS,01296 39894,www.nu-sight.co.uk,
Oakwood Eyecare Centre,Oakwood District Centre Danebridge Crescent Oakwood Derby ,DE21 2HT,No:01332 67643,www.oakwoodeyecare.co.uk,
Oldbury & Cruickshank Optometrists,73 Pickford Street Macclesfield Cheshire ,SK11 6JD, 01625 615 00,www.ocopticians.co.uk,
Optical3 Opticians,"9 Leicester Road, Anstey, Leicestershire ",LE7 7AT, 0116 236 311,www.optical3opticians.co.uk,
Opticks Opticians,7 Station Road Woodhall Spa Lincolnshire ,LN10 6QL,01526 352 23,,
Optivision Opticians Ltd,21 Leicester Road Wigston Leicester ,LE18 1NR,T: 0116 281 2130, www.optivisionopticians.co.uk,
Optivision Opticians Ltd,196 Uppingham Road Leicester ,LE5 0QG, 0116 274 030,www.optivisionopticians.co.uk,
Optivision Opticians Ltd,113 East Park Road Leicester. ,LE5 4QD, 0116 276 954,www.optivisionopticians.co.uk,
Optivision Opticians Ltd,7 & 9 Wood Street Earl Shilton Leicester ,LE9 7NE, 01455 841 36,www.optivisionopticians.co.uk,
Optivision Opticians Ltd,6 The Parade Oadby Leicester ,LE2 5BF, 0116 271 745,www.optivisionopticians.co.uk,
Orriss and Low Optometrists,"Corner House Woodborough Road, Winscombe, Somerset ",BS25 1AQ, 01934 84371,www.orrissandlow.co.uk,info@orrissandlow.co.uk
P. Shah Opticians,152 City Road London ,EC1V 2NP, 0207 253130,www.pshahopticians.co.uk,
P.M & D.J. Ball Opticians,"27a, Church Road, Bebington, Wirral ",CH63 7PG,  0151 645 343,www.pmballopticians.co.uk,
Park Lane Opticians,141 Park Lane Macclesfield Cheshire ,SK11 6UB,01625 43277,http://parklaneopticians.co.uk/,
Patricia Wild Optometrist,6 Auckland Terrace Parliament Street Ramsey IM8 1AF ,Isle of Man,01624 81397,http://www.patwild.co.uk/,
Paul Adler Optometrist,50 High Street Stotfold Hitchin Hertfordshire ,SG5 4LL, 0146273239,www.eyezone.co.uk,
Paul Rutter Opticians,"7 South End, Bedale, North Yorkshire ",DL8 2BJ, 01677 42414,www.paulrutteropticians.co.uk,
Paxon & Thomas (Norwich) Ltd,"20 Castle Meadow, Norwich, Norfolk ",NR1 3DH, 01603 62450,,
Peepers Opticians,"54 High Street, Banbury Oxfordshire ",OX16 5JJ, 01295 26221,www.peepersopticians.co.uk/,
Penny & Hayter Opticians,Rowan House Loxwood Road Plaistow Billingshurst West Sussex ,RH14 0NX,01403 75204,www.pennyandhayter.co.uk,
Percy Harrison Opticians,"117 Elm Grove, Southsea, Hampshire. ",PO5 1LH,023 9282 192,,
Praills Opticians,203D West Street Fareham Hampshire ,PO16 0EN,,www.praills.com,
Rai Opticians Ltd,"8 Broadway Parade, Pinner Road, North Harrow, Middlesex ",HA2 7SY, 020 8427 920,,
Ralph Neale Opticians,73 Bedford Place Southampton Hampshire ,SO15 2DF, 023 8022 174,www.ralphnealeopticians.co.uk,
Rhona Geddes Optometrist,70 High St Dunblane Stirling ,FK15 0AY,01786 82582,,
Richard Stokes Optometrists,"St Albans Contact Lens Centre 38 London Road, St Albans, Hertfordshire ",AL1 1NG,  01727 86683,www.stalbansclc.co.uk,
Robert Frith Optometrists,Wesley House 12 Bell Street Shaftesbury Dorset ,SP7 8AR,01747 852 38,www.frithsopticians.co.uk,
Roger Lee Opticians,"60 Station Road, Sheringham, Norfolk ",NR26 8RG, 01263 82468,www.rogerleeopticians.co.uk,
S H A Abdi Opticians,"403 Witton Road, Birmingham, ",B6 6SP, 0121 356 939,,
S.Elliott Optometrist,44-46 High Street Renfrew ,PA4 8QP,01418863283,,
Sanford Opticians,14-16 William Street Herne Bay Kent ,CT6 5EJ, 01227 362 49,www.sanfordopticians.co.uk,
Sask Optics,,,101 Queens Road,www.saskoptics.com,
Sask Optics,"467 Welford Road, Leicester ",LE2 6BL, 0116 270588,www.saskoptics.com,
Scotts Eyecare Opticians,1 High Street Newmarket Suffolk ,CB8 8LX, 01638 662 47,www.scottseyecare.com,
Scotts The Opticians,Red Cross Building Guildhall Street Thetford Norfolk ,IP24 2DT, 01842 75201,www.scottstheopticians.com,
Sheinman Opticians,106-110 Abington Street Northampton Northamptonshire ,NN1 2BP, 01604 626 16,www.sheinman.com,
Simon Berry Optometrist,41A Marshall Terrace Gilesgate Durham ,DH1 2HX,0191 375 754,www.simonberry.co.uk,
Simon Browning Optometrist,"55 Harpur Street, Bedford, Bedfordshire ",MK40 2SR, 01234 35345,,
Simon Goldsmith Opticians,70 Hollway Road Stockwood Bristol ,BS14 8PG, 01275 83853,www.simongoldsmithopticians.co.uk,
Simpson Optometrists Ltd,168 Cumbernauld Road Muirhead Glasgow ,G69 9NB,0141779142,www.simpsonoptometrists.co.uk/,
Skye Optometrists,"1 Bowers Parade, Harpenden, Hertfordshire, ",AL5 2SH,01582 71284,www.skyes.co.uk,
Souten and Agyemang,345 Meltham Road Netherton Huddersfield ,HD4 7EH,  01484 66443,www.nethertonopticians.co.uk,
Stephen Hewitt Optometrist,21 Mercer Row Louth Lincolnshire ,LN11 9JG, 01507 60727,www.stephenhewittoptometrist.co.uk,
Stephen Wilcox Optometrists,169 Dunbabin Road Liverpool ,L16 7QQ, 0151 722 118,www.wilcox-optometry.co.uk,
Stevenson Jones Opticians,6 Friars Street Newcastle-under-Lyme Staffs ,ST5 2DZ,01782619175,www.stevensonjonesopticians.co.uk,
Stewart Greenberg Opticians,52 High St Llandaff Cardiff ,CF5 2DZ,02920 56611,http://www.greenberg.co.uk/,
Susan Bowers Optometrists,349 Tile Hill Lane Coventry ,CV4 9DU,02476 466 661,www.susanbowers.co.uk,
Taylor Biddle Opticians Ltd,39 Bridgnorth Road Compton Wolverhampton ,WV6 8AF,01902 89590,,
The Eye Studio,The Eye Studio 229a Chiswick High Road London ,W4 2DW,020 8742 853,http://www.eyestudio.co.uk,
The Eyecare Studio,439 Uxbridge Road Hatch End Pinner Middlesex ,HA5 4JR,020 8421 227,,
The Optical People- Millington Dawson,6 St. Mary Street Chepstow Sir Fynwy Momouthshire ,NP16 5EU, 01291 62226,,
The Optical Shop,433 Green Lanes Harringay London ,N4 1HA, 020 8340 151,,
The Vision Therapy Clinic,28 The Spain Petersfield Hampshire ,GU32 3LA, 01730 71017,www.owenleigh.com/,
Tombs and Allen Opticians,"5 Portland Buildings, Stoke Road, Gosport, Hampshire. ",PO12 1JH, 02392 58375,www.tombsandallen.com,
Vaid Optometrists,132 Station Road Edgware Middlesex ,HA8 7AA, 020 8381 264,www.vaidoptometrists.com,
Vaid Optometrists,108 High Street Waltham Cross Enfield ,EN8 7BX, 01992 71845,www.vaidoptometrists.com,
VisionCare Optometry with Ruth Perrott,"30 York Road, Acomb York Yorkshire ",YO24 4LZ, 01904 78404,www.visioncareoptometry.co.uk,
VisionCare Optometry with Ruth Perrott,19 Sagar Street Castleford West Yorkshire ,WF10 1AG, 01977 55236,www.visioncareoptometry.co.uk,
W J Kepetzis Optometrists,"26 Eastern Dene, Hazlemere, High Wycombe, Bucks ",HP15 7BS, 01494 71670,,
Wallace Optometrists,11-12 Argyll Square Oban Argyll ,PA34 4AZ, 0845 230 393,www.wallaceoptometrists.co.uk,
Wallace Optometrists,36 Argyll Street Lochgilphead Argyll ,PA31 8NE, 01546 60235,www.wallaceoptometrists.co.uk,
Ward Opticians Ltd,,,202 Sutton New Road,http://ukopticians.co.uk/uk/ward-erdington/,
Wardale Williams The Opticians,8 Queen Street Ipswich Suffolk ,IP1  1SS, 01473 252595 / 0870 752 569,www.wardalewilliams.co.uk,
Wigram & Ware,4 Jubilee Court Dersingham Norfolk ,PE31 6HH,01485 544850,www.wigware.co.uk,
"Wilson, Wilson and Hancock ltd","223A High St, Lewes Sussex ",BN7 2AF, 01273 47236,www.wilsonwilsonandhancock.co.uk,
"Wilson, Wilson and Hancock ltd",Cambridge House 12-14 Cambridge Road Hastings East Sussex ,TN34 1DJ, 01424 421 71,www.wilsonwilsonandhancock.co.uk,wwh@wilsonwilsonandhancock.co.uk
"Wilson, Wilson and Hancock ltd",7 High Street Tenterden Kent ,TN30 6BN, 01580 762 06,www.wilsonwilsonandhancock.co.uk,tenterden@wilsonwilsonandhancock.co.uk
"Wilson, Wilson and Hancock ltd",Wall Cottage 63 Cinque Ports Street Rye East Sussex ,TN31 7AN, 01797 223 70,www.wilsonwilsonandhancock.co.uk,wwhryebranch@aol.com
Woodstock Opticians,17 High Street Woodstock Oxfordshire ,OX20 1TE,01993 81187,woodstockopticians.co.uk,
